a20,a40,a60,a80,a100,a120,a140,a160,coman2o
13,14,30,30,30,30,30,30,1
30,30,6,30,30,30,30,30,0
30,30,30,4,30,30,30,30,0
30,30,30,30,30,3,30,30,2
30,30,30,30,30,30,5,30,2
30,30,30,30,30,30,10,10,1
30,30,21,30,30,30,30,30,1
30,30,30,17,30,30,30,30,0
30,30,30,30,16,30,30,30,0
30,30,30,30,14,30,30,30,2
30,30,30,30,30,14,30,30,2
30,30,30,30,30,30,19,30,1

